"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
99,67,270,442,-91,-3,598,41,158,331,276,113,225,408,240,-329,812,402
151,95,137,517,-208,28,674,11,177,351,279,92,-119,551,305,-231,855,451
445,254,-295,639,252,128,283,259,378,332,223,110,171,630,270,-148,885,449
271,42,-39,485,353,40,184,351,304,292,100,62,554,453,140,-218,781,339
33,-150,187,370,-131,-49,619,80,74,298,81,-12,312,369,139,-301,702,290
321,123,-190,556,-298,154,785,-73,298,305,148,59,37,510,244,-223,746,341
510,385,-237,626,-149,346,657,112,570,321,207,187,163,584,302,-82,792,386
232,332,65,433,-139,188,596,353,282,339,245,196,261,491,304,-57,758,406
164,294,-137,415,-81,65,377,431,40,288,222,185,178,430,283,-100,688,417
417,285,-353,528,77,186,233,362,194,246,194,242,163,486,274,-63,670,425
396,181,0,433,95,123,547,292,236,284,223,267,226,552,301,-22,710,419
268,209,156,374,-4,0,656,375,260,282,172,293,227,543,299,-43,699,379
456,319,-107,492,-98,220,238,555,442,237,59,422,188,466,258,1,617,354
536,222,-87,495,-118,324,80,602,316,263,71,514,154,404,254,75,580,376
319,150,17,463,-41,49,404,434,79,290,126,455,63,418,291,73,591,384
392,355,-213,505,19,-44,585,303,292,244,90,411,-8,444,319,109,566,370
656,372,-256,375,12,143,322,451,514,165,13,456,89,395,294,151,491,341
478,16,46,247,-49,263,101,572,300,81,-52,458,223,335,241,86,414,274
188,-13,58,391,-266,291,491,360,162,69,-46,440,201,340,236,97,386,245
412,375,-258,448,-463,249,840,257,381,106,14,475,124,325,235,199,365,287
698,419,-321,253,-280,160,395,472,510,48,7,483,96,271,199,180,281,296
457,254,-80,205,-20,135,138,504,370,3,-20,482,46,305,241,163,241,279
191,477,-15,347,-80,109,487,432,333,108,4,554,56,356,293,244,302,291
433,672,-217,361,-47,92,383,561,536,160,-33,587,250,280,215,243,293,249
688,507,-327,253,165,149,201,441,641,81,-107,506,323,237,177,219,208,167
554,424,-230,201,24,136,523,177,495,72,-73,453,31,322,239,266,207,166
457,467,-113,185,-179,157,234,415,387,133,-9,485,-110,298,204,235,219,201
585,473,-132,140,16,380,-418,678,519,87,-30,489,196,175,124,159,141,189
631,583,-233,65,155,432,-119,428,705,-33,-69,443,325,220,167,184,96,177
580,636,-178,-17,52,183,322,269,703,-60,-48,426,81,306,223,216,150,200
571,536,-120,-6,46,145,38,380,563,15,-27,430,16,216,201,175,178,198
568,549,-366,77,78,370,-185,322,473,42,-96,409,139,149,176,120,117,133
595,518,-465,-6,147,445,-237,263,467,-19,-179,373,201,186,154,76,41,65
633,317,-166,-188,330,414,-454,319,498,-70,-167,333,276,154,134,43,-1,81
562,442,-111,-154,277,424,-367,248,589,-73,-136,358,204,159,173,46,-4,158
515,894,-309,-20,21,361,-65,320,699,-28,-111,520,-3,281,234,126,52,199
631,1052,-220,-33,42,370,-30,573,715,64,-9,658,111,305,261,277,125,228
649,932,-54,-84,248,533,76,448,619,103,86,632,387,276,297,345,116,311
494,895,-141,-64,257,472,260,159,548,22,46,566,293,317,299,240,1,343
533,809,-362,-54,132,229,-73,256,623,-90,-80,472,56,216,169,102,-164,218
646,588,-455,-136,105,233,-562,374,671,-167,-163,302,98,9,33,10,-302,81
363,502,-245,-236,156,277,-466,242,450,-214,-134,283,254,-23,34,-54,-345,67
60,560,-93,-159,148,94,-108,173,259,-252,-65,426,248,10,85,-37,-351,110
306,522,-264,-24,141,71,-207,189,494,-290,-84,420,160,-59,95,-2,-431,131
551,418,-297,-96,253,220,-609,186,731,-305,-150,301,173,-91,59,-90,-531,103
240,376,-188,-186,329,63,-535,113,453,-304,-174,268,200,-45,9,-192,-548,17
-12,255,-216,-205,262,-197,-236,-24,150,-346,-201,218,92,-68,2,-222,-559,-58
219,39,-67,-379,226,-152,-569,42,389,-431,-254,107,52,-181,-28,-294,-664,-86
273,35,24,-441,197,-149,-649,55,640,-505,-300,57,179,-260,-112,-352,-798,-118
-139,122,-322,-205,-27,-422,273,-394,315,-533,-368,42,110,-250,-101,-328,-863,-165
-310,-77,-453,-163,-210,-485,347,-532,-41,-531,-430,-1,-112,-294,-75,-397,-875,-226
-62,-191,-294,-352,42,-171,-952,-13,170,-582,-429,-60,33,-433,-190,-506,-905,-292
-80,35,-403,-352,388,-38,-1360,143,401,-686,-420,-95,298,-460,-255,-448,-979,-300
-372,-21,-353,-368,220,-306,-642,-190,99,-715,-429,-69,44,-390,-203,-370,-1059,-269
-354,-346,-73,-593,-138,-447,-513,-331,-174,-698,-437,-57,-307,-468,-237,-417,-1125,-316
-170,-345,-236,-647,-43,-240,-893,-358,10,-775,-490,-144,-163,-619,-309,-442,-1193,-430
-222,-333,-473,-484,184,-174,-919,-410,103,-865,-543,-209,-11,-639,-296,-373,-1232,-483
-338,-542,-368,-409,66,-339,-758,-390,-120,-847,-533,-158,-203,-631,-287,-298,-1228,-464
-350,-531,-340,-426,-24,-265,-881,-371,-165,-808,-567,-108,-258,-687,-313,-284,-1243,-500
-393,-428,-250,-475,162,-104,-1083,-326,-43,-811,-585,-107,-99,-683,-306,-263,-1262,-564
-471,-422,44,-556,237,-275,-745,-349,-152,-773,-414,-66,-119,-628,-243,-141,-1215,-516
-460,-308,-10,-512,121,-375,-358,-490,-275,-697,-313,-5,-216,-643,-174,-68,-1157,-460
-382,-371,-274,-317,101,-91,-735,-473,-142,-678,-491,-33,-139,-694,-192,-172,-1166,-550
-428,-588,-283,-162,80,53,-856,-495,-76,-724,-577,-84,-63,-715,-242,-197,-1192,-639
-543,-409,-308,-184,-117,-102,-239,-748,-179,-766,-439,-59,-145,-747,-215,-99,-1171,-642
-416,-272,-335,-363,-147,-130,-390,-679,-111,-799,-402,-73,-192,-783,-214,-157,-1141,-700
-284,-644,-90,-434,172,-79,-1071,-367,3,-826,-451,-179,-90,-762,-254,-237,-1160,-783
-557,-771,-64,-194,345,-203,-839,-446,-162,-787,-438,-199,-56,-727,-226,-134,-1177,-818
-738,-472,-431,4,196,-280,-585,-576,-283,-732,-490,-132,-161,-730,-240,-110,-1122,-911
-468,-531,-437,-131,170,-154,-1032,-428,-100,-769,-555,-144,-144,-743,-347,-208,-1063,-1025
-400,-837,-55,-223,202,-62,-917,-487,-52,-797,-478,-189,-33,-735,-334,-162,-1042,-1027
-637,-734,-183,2,-7,-88,-272,-707,-216,-725,-426,-184,-84,-697,-227,-65,-985,-1010
-575,-489,-665,186,-109,-122,-202,-673,-113,-694,-528,-206,-107,-673,-250,-77,-935,-1097
-421,-632,-466,25,25,-185,-412,-567,113,-726,-619,-262,33,-735,-363,-74,-962,-1211
-600,-828,2,-168,22,-267,-513,-490,12,-724,-607,-275,-39,-769,-415,-23,-980,-1245
-716,-656,-290,-73,-8,-281,-686,-346,-145,-740,-578,-271,-254,-654,-395,-17,-946,-1202
-529,-538,-534,-64,94,-241,-627,-364,-39,-753,-568,-305,-125,-610,-360,-42,-931,-1135
-436,-769,-26,-286,47,-163,-354,-544,35,-693,-542,-318,68,-734,-352,3,-948,-1076
-584,-879,24,-136,-43,-88,-283,-576,-72,-723,-524,-254,-70,-734,-354,167,-974,-1045
-691,-743,-436,166,42,-74,-388,-420,-127,-837,-540,-200,-153,-622,-340,275,-988,-1059
-625,-689,-213,-93,-12,-30,-676,-219,-73,-800,-538,-208,-85,-688,-369,203,-983,-1086
-519,-705,55,-352,-232,-38,-669,-295,-57,-730,-533,-201,-203,-790,-415,173,-1015,-1089
-478,-776,-310,-152,-222,-266,198,-752,-117,-823,-574,-201,-196,-749,-367,269,-1069,-1085
-491,-910,-415,-157,-74,-337,554,-860,-202,-895,-605,-271,73,-733,-342,286,-1055,-1102
-562,-788,-275,-386,-49,-44,-492,-376,-203,-852,-632,-323,9,-765,-478,271,-1036,-1153
-622,-498,-385,-447,-66,23,-1097,-187,-80,-844,-706,-322,-296,-773,-583,326,-1079,-1203
-556,-481,-282,-561,-48,-255,-558,-416,-17,-854,-704,-306,-263,-819,-527,331,-1082,-1203
-531,-614,-106,-638,11,-337,-327,-416,-204,-823,-613,-248,-101,-787,-515,334,-1028,-1184
-659,-626,-250,-513,53,-203,-540,-334,-399,-803,-627,-220,-146,-673,-591,387,-1005,-1209
-591,-557,-332,-527,-144,-119,-565,-381,-227,-784,-708,-286,-254,-744,-564,352,-994,-1224
-353,-425,-390,-633,-371,-97,-509,-353,-32,-772,-697,-299,-293,-890,-483,336,-986,-1172
-472,-425,-454,-641,-127,-177,-250,-466,-343,-788,-661,-199,-151,-849,-472,452,-1024,-1105
-692,-667,-113,-710,178,-270,116,-751,-643,-753,-642,-145,-31,-768,-416,489,-1018,-1053
-463,-718,86,-721,-118,-189,50,-721,-366,-689,-569,-191,-390,-741,-308,460,-935,-993
-287,-496,-312,-550,-400,-94,-252,-469,-216,-701,-513,-215,-710,-728,-304,527,-910,-953
-568,-486,-496,-463,0,-131,-425,-382,-595,-734,-528,-156,-281,-840,-362,545,-940,-947
-677,-612,-251,-556,328,-155,-632,-330,-700,-718,-541,-137,72,-952,-376,466,-928,-945
-447,-565,-294,-625,-5,-143,-750,-256,-428,-699,-565,-239,-376,-851,-380,453,-904,-973
-408,-626,-487,-578,-325,-167,-534,-356,-501,-688,-599,-311,-731,-742,-382,471,-874,-1011
-522,-801,-235,-627,-146,-160,-367,-491,-689,-665,-533,-297,-438,-787,-386,447,-813,-966
-513,-572,38,-816,122,-149,-549,-394,-503,-603,-434,-322,-194,-801,-413,438,-783,-864
-499,-96,-205,-761,43,-253,-483,-271,-373,-472,-422,-294,-336,-729,-352,453,-761,-773
-515,-89,-215,-582,-274,-321,141,-407,-538,-363,-365,-135,-487,-661,-198,487,-673,-642
-488,-461,375,-686,-327,-192,334,-474,-582,-366,-240,-71,-398,-629,-167,534,-613,-521
-530,-514,381,-606,25,-76,-399,-162,-456,-392,-250,-169,-219,-648,-269,524,-627,-528
-632,-277,-281,-210,191,-81,-792,-66,-460,-368,-319,-254,-295,-621,-285,453,-594,-539
-721,-257,-303,-271,-108,-69,-160,-562,-671,-325,-242,-312,-551,-500,-217,368,-505,-464
-812,-346,78,-573,-208,-127,286,-801,-894,-257,-140,-360,-441,-489,-229,310,-438,-458
-689,-273,30,-449,169,-241,-157,-344,-736,-191,-126,-328,-53,-582,-270,332,-357,-502
-384,-227,-25,-292,298,-107,-614,-22,-320,-202,-109,-297,-110,-453,-247,364,-254,-457
-494,-303,97,-343,-26,86,-471,-222,-420,-211,-74,-338,-506,-189,-230,293,-173,-441
-824,-356,127,-285,-107,-47,-141,-372,-835,-114,-34,-354,-450,-192,-232,207,-74,-499
-501,-301,131,-204,158,-181,-105,-227,-562,-18,25,-321,-72,-270,-202,190,53,-486
-87,-56,34,-193,255,0,-245,-130,-57,-4,70,-311,-48,-60,-183,171,151,-425
-540,132,61,-158,126,110,-48,-281,-354,25,130,-306,-184,71,-142,162,210,-362
-899,-136,455,-158,-35,26,315,-378,-736,83,203,-289,-94,-135,-41,198,224,-251
-354,-449,497,-83,-92,103,59,-133,-347,82,194,-320,-31,-195,-33,196,196,-205
-80,-180,75,59,129,243,-441,80,-22,61,189,-355,-47,7,-119,171,210,-236
-580,251,90,-30,314,115,-246,-66,-353,108,278,-303,-24,31,-88,198,266,-164
-695,196,433,-227,98,-86,152,-186,-551,191,310,-242,-190,-75,13,230,264,-56
-175,-43,438,-217,-23,-140,146,-103,-244,220,264,-238,-287,-77,5,236,230,-57
21,10,282,-160,210,-177,208,-121,-115,183,284,-199,12,-102,-41,251,255,-56
-277,141,275,-187,213,-170,253,-142,-413,172,326,-134,49,-112,-26,243,299,-21
-378,85,293,-121,17,-57,-98,48,-492,225,295,-150,-253,-10,-38,213,321,-69
-101,69,188,1,129,-57,-208,195,-133,254,227,-190,-24,-3,-117,204,346,-145
13,149,159,-63,162,-153,244,89,23,223,193,-181,308,-42,-123,201,369,-147
-183,101,443,-276,-151,-78,562,-83,-183,206,243,-181,-11,83,-24,201,376,-108
-186,42,643,-340,-174,69,371,-53,-176,223,304,-193,-98,139,-21,192,380,-92
32,127,394,-219,90,49,7,157,20,251,249,-186,342,-3,-147,114,368,-125
2,192,171,-129,17,-108,-47,226,-34,279,181,-190,265,-22,-181,27,343,-147
-101,182,210,-76,-127,-243,157,126,-79,250,225,-181,-71,99,-130,16,343,-98
52,170,181,25,63,-189,71,196,119,174,261,-124,142,131,-139,6,357,-19
105,184,162,82,153,-41,-36,310,148,193,244,-53,296,207,-107,-11,395,59
-57,291,291,94,39,-46,321,202,14,304,303,-2,125,380,-12,24,499,124
-56,353,300,150,112,-33,403,181,85,338,367,-44,305,385,-32,5,590,104
0,203,240,152,175,128,115,257,144,303,328,-178,514,329,-85,-81,599,57
-47,81,324,72,35,108,343,99,40,328,292,-230,260,458,-36,-96,623,82
73,153,339,57,55,28,398,100,114,395,297,-182,211,536,-50,-115,699,49
227,220,234,99,162,204,-59,340,281,419,292,-210,490,463,-98,-208,761,-62
141,196,292,80,3,159,407,128,268,395,334,-287,398,534,9,-242,830,-68
136,145,409,12,-78,-219,1120,-159,307,361,360,-325,231,654,41,-265,885,-62
297,88,303,17,175,-193,378,193,434,373,265,-367,466,594,-133,-372,860,-178
252,100,94,158,261,85,-402,514,364,409,194,-363,502,552,-183,-411,826,-223
133,174,18,253,44,-40,20,349,294,374,212,-301,227,591,-91,-355,826,-150
251,166,111,152,69,-131,354,191,433,326,215,-293,316,555,-74,-314,803,-111
332,87,204,76,302,136,270,98,441,353,220,-313,532,543,-8,-259,770,-54
159,77,144,73,191,136,366,59,241,338,210,-335,373,533,75,-228,729,-6
82,60,200,-104,-92,-141,348,229,219,276,136,-394,263,384,-12,-290,662,-80
288,-98,457,-201,0,-157,258,243,353,330,131,-369,418,322,-70,-327,635,-124
408,-208,313,61,292,-46,191,99,275,396,169,-267,440,408,-29,-282,626,-81
278,-87,-157,172,293,-23,-208,200,76,303,91,-265,241,370,-100,-248,563,-131
229,17,-115,-43,43,11,-294,208,93,221,39,-266,22,302,-116,-237,543,-174
335,-52,194,-38,-75,-50,434,-72,200,289,114,-165,28,355,39,-186,590,-70
309,-48,23,112,47,-135,661,-76,112,333,113,-163,299,297,26,-126,563,-36
149,83,-239,9,144,-42,-186,220,-3,262,25,-282,304,170,-167,-170,475,-141
127,46,-73,-99,80,-92,-502,245,57,225,31,-312,-80,242,-174,-256,466,-140
305,-198,166,-80,98,-362,218,6,77,297,103,-285,-121,334,-44,-207,509,-23
445,-334,71,-110,232,-338,314,4,-88,361,123,-324,191,236,-49,-164,481,0
380,-270,-172,-58,125,-65,-397,215,-191,328,96,-354,91,152,-106,-258,402,-23
301,-219,-87,-6,-157,-43,-208,54,-98,309,106,-328,-266,180,-26,-242,397,70
323,-176,197,-159,-131,-200,655,-372,-50,379,183,-328,-176,181,84,-138,446,188
230,-59,104,-218,126,-221,434,-235,-176,405,209,-380,142,153,35,-227,401,191
107,-13,-149,-142,67,-151,-465,270,-189,327,119,-455,-6,152,-87,-337,287,152
241,-10,-111,-254,-247,-148,-422,167,-24,303,86,-500,-465,158,-58,-285,255,165
378,21,-100,-321,-207,-211,315,-321,-113,386,181,-475,-430,182,92,-268,283,219
270,-135,-234,-176,144,-287,519,-353,-408,418,192,-479,33,191,112,-314,253,242
285,-250,-301,-136,86,-334,120,-54,-303,351,84,-534,0,137,-18,-300,174,224
510,100,-285,-208,-304,-235,-156,147,31,365,122,-402,-423,133,-43,-215,153,281
450,419,76,-294,-237,0,7,236,-64,529,308,-120,-270,233,99,-55,228,440
185,281,468,-400,118,87,251,165,-287,602,315,-96,145,270,179,28,294,484
270,183,56,-319,18,-21,131,18,-102,467,127,-302,-73,233,91,-104,267,344
499,215,-490,-131,-264,-30,-113,5,38,373,33,-351,-406,237,-13,-220,232,228
371,27,-293,-110,-176,49,40,-42,-170,400,50,-286,-149,215,-18,-176,256,208
237,-104,-113,-153,11,-5,402,-254,-206,347,33,-308,136,178,9,-170,277,168
451,-16,-319,-175,-29,-76,385,-296,16,258,-18,-317,12,250,-49,-230,251,90
565,0,-421,-181,-170,6,-37,-35,89,260,-92,-294,-114,278,-162,-239,210,12
427,76,-457,-159,-178,16,-234,125,112,224,-142,-309,-50,186,-162,-244,203,-36
418,183,-319,-328,7,-289,340,-168,197,129,-93,-279,4,188,-44,-257,209,-46
441,-186,4,-519,62,-598,988,-569,89,73,-134,-287,-18,172,-19,-250,111,-112
302,-651,-120,-318,-182,-423,437,-374,-14,-18,-335,-419,-60,-41,-158,-282,-51,-262
314,-441,-515,-81,-312,6,-628,174,148,-113,-366,-393,-35,-147,-254,-321,-97,-303
458,-30,-554,-136,-254,92,-580,200,184,-77,-203,-165,2,-49,-201,-292,-77,-184
341,-43,-485,-137,-325,-176,59,-131,-7,-47,-180,-89,-66,-73,-159,-274,-133,-113
198,-99,-489,-67,-351,-414,131,-160,60,-108,-259,-151,-102,-168,-211,-314,-183,-114
363,-6,-396,-118,-263,-433,59,-66,284,-84,-231,-126,-47,-112,-217,-326,-168,-26
402,-24,-341,-120,-376,-256,83,-64,153,24,-170,-90,-175,-45,-118,-274,-172,108
200,-18,-372,-73,-444,-105,-107,1,-119,79,-150,-73,-363,-55,-32,-204,-197,188
376,99,-408,-108,-158,-164,-134,50,-19,117,-122,-16,-163,-54,-18,-170,-210,265
744,109,-422,-123,-3,-226,35,76,205,186,-80,-5,107,-47,-27,-150,-216,363
560,51,-225,-137,-270,-121,40,128,57,240,-35,-13,-131,-4,6,-92,-174,437
267,44,147,-287,-426,-56,245,-35,-152,291,17,15,-418,113,96,-64,-90,495
542,87,251,-373,-114,-118,616,-232,61,389,56,0,-138,211,167,-89,-17,528
797,238,-119,-157,185,-120,379,-17,275,472,37,-27,100,251,137,-62,43,487
567,337,-526,67,19,-84,-211,290,66,439,-40,-19,-230,245,63,-64,64,405
446,185,-372,-46,-182,-138,-185,204,-73,375,-56,-31,-358,171,59,-174,35,371
618,110,20,-185,-43,-107,216,22,130,415,30,-11,81,113,101,-209,46,389
535,353,-123,-30,-16,130,-31,157,194,454,53,33,199,133,85,-177,95,374
210,462,-422,94,-195,167,-507,234,36,348,-25,-13,-201,97,38,-235,68,309
165,238,-239,9,-97,-295,148,-206,105,234,-69,-97,-282,24,58,-251,-21,277
376,110,-78,-24,167,-689,1039,-514,327,257,-75,-125,20,101,70,-190,-65,287
369,117,-206,3,212,-425,186,-3,223,292,-113,-118,28,185,-17,-225,-86,248
109,43,-176,-68,35,25,-955,378,-61,223,-146,-107,-222,64,-66,-291,-162,168
31,109,-68,-144,-181,-6,-130,-153,27,148,-128,-119,-221,-18,36,-268,-244,148
210,202,-54,-103,-122,-253,739,-454,294,113,-74,-78,-100,76,140,-208,-269,185
188,-42,-11,16,55,-207,-154,44,141,46,-72,35,-210,31,87,-170,-306,173
-130,-149,-113,112,-252,81,-738,231,-157,-11,-144,33,-253,-168,-52,-203,-383,108
-229,191,-259,108,-621,335,-201,-55,-55,9,-114,-28,-54,-173,-82,-232,-390,104
-28,331,-79,81,-306,323,-143,-14,119,51,42,91,-44,-18,42,-119,-320,175
-74,150,175,131,85,88,-331,130,-44,74,113,240,-203,29,154,-8,-304,236
-387,138,239,194,-57,-19,25,-37,-243,83,99,245,-207,-17,166,-29,-363,276
-419,207,239,244,-252,19,230,-171,-178,63,122,263,-258,-44,165,-35,-385,313
-170,167,184,308,-164,25,20,-71,-26,63,148,305,-333,-33,169,6,-340,323
-158,228,211,282,-9,165,-227,86,-50,94,208,312,-168,-2,150,35,-299,355
-449,360,411,209,-12,335,-157,35,-257,85,314,389,-144,37,202,106,-272,450
-548,269,465,280,-138,235,320,-228,-349,59,305,450,-389,80,317,180,-244,513
-274,66,344,393,-74,185,266,-152,-176,70,238,396,-325,60,312,177,-257,501
-139,143,288,399,83,299,-257,185,-117,106,294,408,-53,-35,218,182,-286,493
-391,335,339,367,-30,176,193,-2,-369,152,351,516,-117,-41,239,256,-262,510
-519,190,570,248,-180,154,631,-254,-485,140,313,522,-305,55,298,303,-243,508
-327,25,710,102,-158,538,-249,110,-304,50,310,453,-298,38,240,260,-295,487
-249,207,368,192,-129,574,-460,142,-288,16,327,462,-283,-28,220,217,-328,465
-382,285,68,334,8,122,607,-426,-528,51,260,522,-304,38,314,263,-309,455
-449,121,256,269,65,0,768,-402,-590,35,206,547,-259,68,310,311,-314,462
-379,143,356,247,-236,259,55,84,-400,-3,221,550,-239,-52,204,251,-338,459
-262,212,211,305,-260,439,-171,41,-299,-10,221,556,-212,-96,199,158,-327,435
-229,74,335,192,127,469,-99,-229,-380,-12,211,554,-162,4,278,147,-294,420
-289,32,520,112,81,355,62,-211,-399,3,228,543,-293,68,317,194,-248,414
-247,198,265,286,-214,247,209,-133,-282,24,210,551,-431,30,303,206,-202,392
-147,246,-39,433,-66,322,-67,-54,-273,26,162,577,-260,-17,243,169,-211,379
-185,70,106,370,66,335,-258,50,-408,43,149,578,-116,-6,177,138,-240,397
-223,-17,274,270,-137,220,29,-59,-421,54,141,530,-253,-1,170,138,-203,411
-158,129,48,240,-119,228,57,-209,-351,33,117,460,-305,-58,188,133,-160,422
-125,204,-112,258,136,273,-275,-61,-429,63,151,440,-200,-37,188,121,-175,465
-87,170,48,335,114,267,-98,31,-474,156,240,544,-213,105,240,183,-145,542
-45,367,239,401,-110,357,473,-110,-304,219,321,727,-269,193,349,335,-18,644
-109,590,388,384,-111,438,430,43,-176,240,382,807,-196,205,372,418,80,702
-110,456,341,433,81,410,-66,340,-214,235,371,729,-52,198,270,349,70,638
-54,257,64,528,119,379,-60,113,-269,174,271,620,4,100,186,260,4,553
-238,230,146,374,-14,314,177,-191,-347,110,225,524,-137,9,200,214,-46,559
-404,179,428,170,-74,318,-93,15,-417,117,255,419,-295,68,208,183,-45,553
-198,148,143,293,5,518,-497,209,-352,151,204,383,-206,113,143,185,-36,476
-60,242,-222,425,127,541,-452,37,-314,152,127,420,-94,64,112,170,-61,445
-221,274,-42,336,121,239,-49,-135,-393,139,168,432,-222,51,189,157,-59,451
-207,203,84,323,3,86,281,-165,-350,125,204,424,-281,49,212,224,-27,383
-36,192,-89,353,70,140,126,-113,-232,120,129,402,-103,28,87,211,-52,294
