"V1","V2","V3","V4","V5"
668.96698,2895.699951,3648.540039,2402.439941,3347.959961
669.46698,2802.98999,3409.639893,2290.409912,3379.570068
669.96698,3015.129883,3492.709961,2301.810059,3516.280029
670.46698,2788.620117,3437.48999,2289.429932,3229.389893
670.96698,2763.129883,3366.540039,2282.51001,3163.73999
671.46698,2463.659912,3505.110107,2334.280029,3490.469971
671.96698,2386.090088,3779.97998,2507.439941,3306.330078
672.46698,2348.209961,3419.189941,2268.370117,3456.899902
672.96698,2555.919922,3649.939941,2151.840088,2736.060059
673.46698,2749.169922,3608.48999,2444.800049,3040.169922
673.96698,2287.02002,3597.050049,2238.139893,3104.050049
674.46698,2641.01001,3767.469971,2272.149902,3058.610107
674.96698,2469.050049,3512.060059,2125.300049,3123.889893
675.46698,2181.909912,3393.129883,2292.02002,3290.659912
675.96698,2261.820068,3342.719971,2132.330078,3077.560059
676.46698,2154.540039,3536.459961,2140.459961,2740.929932
676.96698,2268.820068,3073.199951,2118.139893,3196.949951
677.46698,2250.169922,3076.75,2077.780029,3222.26001
677.96698,2155.439941,3371.659912,2130.899902,2961.719971
678.46698,2658.870117,3164.030029,2230.540039,2797.72998
678.96698,2429.22998,3261.97998,2275.060059,3086.100098
679.46698,2388.209961,3121.25,2285.590088,3050.620117
679.96698,2267.709961,3239.830078,2073.889893,3200.969971
680.46698,2447.110107,3188.870117,2087.449951,3066.199951
680.96698,2002.839966,3231.51001,2254.469971,2715.669922
681.46698,2336.959961,3545.370117,2345.5,2891.949951
681.96698,1906.97998,3488.110107,2012.829956,2825.679932
682.46698,2128.100098,3210.120117,2006.109985,2847.050049
682.96698,2174.570068,2871.689941,2093.52002,3153.840088
683.46698,2091.120117,3134.149902,2241.060059,2780.090088
683.96698,2362.320068,3206.52002,2011.02002,2854.370117
684.46698,1901.160034,2967.340088,2002.930054,2944.860107
684.96698,2110.01001,3158.47998,2081.659912,2791.090088
685.46698,2148.939941,3065.51001,1907.150024,3000.639893
685.96698,2012.150024,2777.840088,2043.670044,3105.899902
686.46698,2213.5,3131.669922,2243.800049,3109.47998
686.96698,2395.179932,2914.780029,2304.699951,2928.73999
687.46698,1875.829956,2751.620117,2252.830078,2942.689941
687.96698,2177.129883,3303.649902,1805.72998,2738.02002
688.46698,2276.280029,2888.560059,2234.929932,3035.570068
688.96698,1689.76001,3169.689941,2221.47998,2874.120117
689.46698,2089.360107,3066.330078,2079.75,3016.179932
689.96698,2257.629883,3170.929932,2300.110107,3211.449951
690.46698,2069.98999,3111.100098,2176.149902,3258.580078
690.96698,2320.48999,2848.47998,1894.130005,2990.139893
691.46698,2170.669922,3587.570068,2041.810059,3164.870117
691.96698,2254.679932,3389.830078,2415.26001,3237.48999
692.46698,1971.319946,3169.280029,1925.939941,3033.02002
692.96698,2038.589966,3075.149902,2176.659912,3020.159912
693.46698,2185.340088,3120.459961,2340.26001,3088.889893
693.96698,2178.76001,3410.189941,2131.310059,2796.389893
694.46698,2114.969971,3379.97998,2087.159912,2693.659912
694.96698,2477.209961,3240.48999,2272.830078,3036.76001
695.46698,2042.040039,3529.290039,2200.340088,2946.189941
695.96698,2551.649902,3291.639893,2072.050049,2600.889893
696.46698,2351.189941,3067.679932,2245.51001,3103.719971
696.96698,2066.459961,2826.73999,1940.140015,2945.469971
697.46698,2379.699951,3431.350098,2271.620117,3244.469971
697.96698,2235.379883,3339.889893,2174.23999,3148.070068
698.46698,2394.47998,3330.639893,2303.120117,3183.659912
698.96698,2408.090088,3219.459961,2141.330078,3214.370117
699.46698,2459.040039,3437.860107,2183.909912,3373.159912
699.96698,2381.189941,3591.98999,2314.649902,3066.310059
700.46698,2212.090088,3339.360107,2252.25,3213.219971
700.96698,2141,3442.939941,2232.959961,3146.939941
701.46698,2247.929932,3425.52002,2112.22998,3242.290039
701.96698,2578.149902,3442.280029,2167.340088,3462.629883
702.46698,2579.209961,3189.939941,2235.25,3633.659912
702.96698,2128.850098,3627.429932,2242.550049,3302.639893
703.46698,2099.649902,3914.340088,2028.650024,3157.600098
703.96698,2106.370117,3570.5,2047.23999,3034.429932
704.46698,2251.899902,4005.050049,2083.790039,3195.77002
704.96698,2237.540039,3828.969971,2360.040039,2984
705.46698,2135.800049,3533.040039,2062.820068,3158.540039
705.96698,2298.370117,3452.290039,1987.819946,3093.47998
706.46698,2332.899902,3740.26001,2226.25,3167.540039
706.96698,2419.469971,3823.120117,1983.189941,3354.610107
707.46698,2205.550049,3896.810059,2129.969971,3465.080078
707.96698,2307.379883,4066.110107,2237.01001,3384.189941
708.46698,2328.959961,3950.01001,2211.080078,3584.209961
708.96698,2522.120117,3508.330078,2288.659912,3407.469971
709.46698,2658.360107,3890.189941,2079.969971,3667.379883
709.96698,2464.060059,3778.389893,2024.119995,3461.209961
710.46698,2013.359985,3793.050049,2548.840088,3502.659912
710.96698,2214.73999,4169.009766,2380.51001,3727.899902
711.46698,2485.639893,3497.590088,2443.02002,3711.409912
711.96698,2186.370117,3718.120117,2323.139893,3434.22998
712.46698,2356.300049,4136.129883,2273.48999,3524.25
712.96698,2384.449951,3917.110107,2498.969971,3237.889893
713.46698,2230.820068,4020.850098,2127.790039,3662.189941
713.96698,2826.5,4053.060059,2272.26001,3520.669922
714.46698,2413.969971,4341.089844,2110.060059,3572.530029
714.96698,2718.909912,4312.77002,2245.540039,3764.73999
715.46698,2381.51001,4144.109863,2137.77002,3773.320068
715.96698,2220.800049,4038.550049,2314.620117,3718.080078
716.46698,2071.090088,3974.370117,2634.209961,3879.090088
716.96698,2626.199951,3901.610107,2361.689941,3357.830078
717.46698,2713.72998,4801.379883,2105.02002,3775.709961
717.96698,2433.47998,4484.049805,2068.959961,3594.469971
718.46698,2590.620117,4208.669922,2171.899902,3493.949951
718.96698,2713.820068,4380.169922,2419.469971,3561.419922
719.46698,2310.199951,4424.680176,2301.97998,3540.679932
719.96698,2357.389893,4473.660156,2405.610107,3687.709961
720.46698,2943.280029,4195.47998,2137.110107,3891.810059
720.96698,2646.399902,3534.02002,2344.030029,3674.77002
721.46698,2439.070068,4640.140137,2367.01001,3902.870117
721.96698,2980.120117,4065.26001,2377.580078,3803.580078
722.46698,2683.090088,4422.72998,2342.120117,3612.48999
722.96698,2640.600098,4360.240234,2047.099976,4061.97998
723.46698,2443.909912,4250.25,2208.169922,3375.179932
723.96698,2704.679932,4595.720215,2303.959961,3967.76001
724.46698,2664.149902,4131.52002,2392.870117,4030.620117
724.96698,2846.429932,4428.600098,2481.360107,3726.719971
725.46698,2720.280029,4443.169922,2443.030029,3370.649902
725.96698,2750.300049,4091.51001,2494.969971,3996.97998
726.46698,2471.610107,4114.660156,2461.26001,3855.800049
726.96698,3064.070068,4614.089844,2480.97998,3586.280029
727.46698,2613.659912,4910.080078,2584,3701.040039
727.96698,2862.360107,4362.720215,2560.310059,3954.629883
728.46698,2891.389893,4815.799805,2399.5,3928.060059
728.96698,2739.580078,4960.549805,2715.300049,3643.399902
729.46698,3015.23999,5264.77002,2658.389893,4136.100098
729.96698,2563.77002,5116.870117,2762.889893,3910.810059
730.46698,3251.330078,4611.660156,2783.23999,4031.22998
730.96698,3130.649902,5011.450195,2724.919922,3615.100098
731.46698,3148.919922,5383.950195,2519.679932,3778.929932
731.96698,3276.639893,5667.549805,2525.030029,4466.310059
732.46698,2734.219971,5100.669922,2652.209961,4421.830078
732.96698,3054.51001,5085.589844,2773.25,4342.319824
733.46698,3284.73999,5451.459961,2776.370117,4102.310059
733.96698,3539.580078,5621.339844,3017.669922,4618.609863
734.46698,3381.850098,6038.819824,2659.419922,4359.169922
734.96698,3633.25,5798.740234,3406.810059,4578.330078
735.46698,3369.780029,5405.580078,3152.340088,4876.299805
735.96698,3478.169922,6021.879883,3263.159912,4983.959961
736.46698,3848.290039,5960.02002,3060.149902,4476.430176
736.96698,3833.060059,6313.459961,2984.580078,4697.990234
737.46698,3952.209961,6406.810059,3309.790039,5162.109863
737.96698,3715.899902,6809.279785,3339.72998,5218.080078
738.46698,4670.740234,6342.169922,3493.870117,5060.850098
738.96698,4379.660156,6609.080078,3276.75,4985.140137
739.46698,4463.990234,7172.200195,3585.820068,5646.359863
739.96698,4740.899902,6657.990234,3635.72998,5266.279785
740.46698,5047.25,7438.310059,3826.399902,5905.330078
740.96698,5331.319824,8085.470215,3956.820068,6088.060059
741.46698,5731.189941,8434.849609,4425.990234,6025.669922
741.96698,6665.939941,8976.570312,4578.919922,6730.450195
742.46698,6830.97998,8937.009766,5084.72998,7497.390137
742.96698,7373.939941,9800.580078,5169.959961,7757.799805
743.46698,7452.080078,10096.799805,5247.970215,7408.609863
743.96698,7525.580078,9741.05957,5230.72998,7708.290039
744.46698,7784.660156,10048.700195,5204.990234,8239.5
744.96698,7726.009766,10506.5,5299.819824,8093.02002
745.46698,7709.850098,10096.700195,5411.75,7801.009766
745.96698,7337.580078,10075.200195,4805.470215,7789.97998
746.46698,7735.870117,10227.799805,5171.640137,7603.430176
746.96698,7554.279785,10078.700195,4864.790039,7731.189941
747.46698,8003.859863,10295.299805,5454.399902,8079.870117
747.96698,8200.219727,10344.200195,5649.850098,8139.069824
748.46698,9001.290039,10993,5931.669922,8441.830078
748.96698,8914.30957,12027.400391,5802.549805,8340.719727
749.46698,9760.820312,12683,5965.839844,9360.639648
749.96698,10409.400391,12538.200195,6642.509766,9710.349609
750.46698,10931.099609,13405.299805,7218.990234,10000.799805
750.96698,11476.599609,13940.700195,7275.129883,10732.700195
751.46698,12256.200195,14395.799805,7445.129883,11233.299805
751.96698,13287.299805,15585.400391,8135.080078,11574.700195
752.46698,13810.700195,16657.300781,8568.459961,12228.700195
752.96698,14190.599609,17299.900391,8401.820312,12625.5
753.46698,15005.299805,17620.699219,9313.629883,13264.200195
753.96698,15334.900391,18048.199219,9210.969727,13713.5
754.46698,16030.700195,18955.400391,9949.75,13854.700195
754.96698,16476.300781,19321.5,9988.759766,14498.5
755.46698,16320.799805,19747,10495.299805,14422
755.96698,16758.400391,20266.199219,10631.200195,15243.5
756.46698,17497.699219,20913.5,10928,15668.799805
756.96698,18630.900391,20857.400391,11339.900391,16423.199219
757.46698,19352.400391,22207.800781,11491.099609,17053.900391
757.96698,20910.199219,23522.300781,12389.299805,17337.300781
758.46698,21438.900391,24241.699219,12735.099609,18019.900391
758.96698,22163.900391,26084.900391,13160.900391,19054.699219
759.46698,23776.300781,27075.099609,13932.700195,20686.5
759.96698,25795,29071,14831.400391,21540.599609
760.46698,27337.400391,31074.199219,15729.200195,22760.199219
760.96698,29086.5,33132.800781,16930.900391,24001.199219
761.46698,31159.199219,35184.398438,18055.900391,25168.599609
761.96698,31851.300781,35892.898438,18072.599609,26180.5
762.46698,32703.800781,36704.601562,19036.5,26779.400391
762.96698,32788.800781,36196.5,18964.400391,26825
763.46698,31706,35397.300781,18654.800781,25945
763.96698,29737.699219,34044.601562,17797.300781,24764.900391
764.46698,28490.199219,31432.099609,16678.5,23513
764.96698,26276.699219,30073.800781,16084.700195,22197.199219
765.46698,24848.800781,28382.199219,15223.400391,21081.5
765.96698,24682.900391,28705.599609,15081.5,21664.300781
766.46698,24895.599609,28865,15326.700195,21333.400391
766.96698,24389.5,28022.400391,14964,20884.300781
767.46698,22993.900391,26462.599609,14366.799805,19504.199219
767.96698,21389.400391,24654.900391,13269.099609,18506.400391
768.46698,20970.900391,23230.699219,12740.5,17203.199219
768.96698,20479.5,23175.099609,12399.900391,16686.199219
769.46698,20559.800781,22970.800781,11927.400391,16967.300781
769.96698,20762.800781,22843.5,11810,17011.199219
770.46698,20928.300781,23525.400391,12411.799805,17479.5
770.96698,21593.800781,24673.599609,12575.299805,17683.900391
771.46698,22809.199219,25958.300781,13399,19383.199219
771.96698,24423.199219,27441.199219,14061.299805,20244.800781
772.46698,27035.199219,29849.900391,15152.099609,21599.099609
772.96698,28778.300781,31917.5,16545.199219,23550.400391
773.46698,31670.099609,35551.398438,17733.5,25166.699219
773.96698,34539.601562,38865.300781,19339.300781,27825.800781
774.46698,38043.5,42474.101562,20932.5,30781.300781
774.96698,40276.300781,45335.199219,22863.199219,32706.599609
775.46698,43437.300781,47306.398438,24261.300781,34425.398438
775.96698,44179,47727.398438,24724,34983.699219
776.46698,42196,45555,23981.800781,32322.800781
776.96698,35719.601562,38787.398438,21598.300781,28631
777.46698,28422.300781,31492.800781,17650.900391,23362.699219
777.96698,22270,25934,14482.200195,19333.400391
778.46698,17901.199219,20913.400391,11631.299805,15802.5
778.96698,14117.799805,17847.099609,10134.299805,13847.200195
779.46698,12393.5,15690.299805,8888.419922,13037.400391
779.96698,9870.94043,12528.799805,7747.240234,10410.200195
780.46698,5597.660156,7000.47998,4988.240234,5934.240234
780.96698,2395.76001,2816.669922,2459.26001,2436.699951
781.46698,1108.02002,1163.619995,933.619019,1065.869995
781.96698,628.327026,751.257996,490.437988,687.754028
782.46698,568.801025,557.044983,263.820007,515.994995
782.96698,490.437012,449.897003,231.367996,231.481003
783.46698,298.540009,288.709991,159.667999,329.496002
783.96698,265.648987,426.940002,155.662994,129.651993
784.46698,179.634003,319.237,81.6856,184.337997
784.96698,208.608994,344.006012,235.875,207.759003
785.46698,201.447006,257.537994,120.335999,299.001007
785.96698,265.748993,323.729004,218.619003,235.791
786.46698,285.04599,267.149994,260.835999,137.354004
786.96698,296.162994,251.636993,253.987,147.356995
787.46698,156.475998,237.975998,180.580994,210.306
787.96698,337.829987,261.998993,130.488007,176.539993
788.46698,210.447006,288.141998,125.581001,231.977005
788.96698,294.757996,209.503998,71.490898,179.582993
789.46698,381.996002,333.894012,57.292801,192.139008
789.96698,318.023987,241.270996,65.8041,310.319
790.46698,295.165985,311.372009,129.061005,471.915985
790.96698,216.167007,371.88501,84.829102,136.770996
791.46698,217.427994,453.705994,169.565002,349.156006
